MSE,Chi2pvalue,n,N,seed
0.0009968639426369,,10,80,77
0.001087962078746,,10,80,69
0.0007243604086189,,10,80,13
0.0012057668783643,,10,90,42
0.0018361164384615,,10,90,67
0.0004439792933526,,10,90,77
0.0002032290321783,,10,90,69
0.0018125947744384,,10,90,13
0.0003816115804599,,10,100,42
0.000535183845626,,10,100,67
0.000579410274846,,10,100,77
0.0002747277448783,,10,100,69
0.0014569121611424,,10,100,13
7.016088241316423e-05,,10,150,42
0.000299057288068,,10,150,67
0.0005200865884564,,10,150,77
0.0002865591964249,,10,150,69
0.0002938812412914,,10,150,13
0.0006919442306504,,10,200,42
8.975122914632351e-05,,10,200,67
0.0003591542959697,,10,200,77
0.0002822587199581,,10,200,69
0.00022532406406,,10,200,13
0.0002117683445332,,10,250,42
0.0002482469134064,,10,250,67
0.0006571994528486,,10,250,77
0.0002484972899042,,10,250,69
0.0004646951161224,,10,250,13
0.0002129873953678,,10,300,42
9.536262377257098e-05,,10,300,67
0.0004510980199091,,10,300,77
0.0001223293607669,,10,300,69
0.0003148392222305,,10,300,13
0.0001293475770947,,10,350,42
0.0003864806408394,,10,350,67
0.0006525356021163,,10,350,77
0.0001422035018337,,10,350,69
0.000135049850298,,10,350,13
0.0001825096186173,,10,400,42
0.0001878926212786,,10,400,67
0.0002983259915584,,10,400,77
0.0001017745673801,,10,400,69
0.0003223774197589,,10,400,13
0.0001229613226116,,10,450,42
0.0001119599593811,,10,450,67
0.0008508930807214,,10,450,77
0.0002757715540698,,10,450,69
0.0001970621486517,,10,450,13
0.000124513777922,,10,500,42
0.0001445273310408,,10,500,67
0.000266085707222,,10,500,77
9.927626189158688e-05,,10,500,69
0.0002388868401232,,10,500,13
0.0001338495172895,,10,1000,42
8.979927145009864e-05,,10,1000,67
0.0001208065709581,,10,1000,77
4.277212577815981e-06,,10,1000,69
4.764743225160858e-05,,10,1000,13
0.000101308224949,,10,1500,42
3.846888727852551e-05,,10,1500,67
7.609364603603586e-05,,10,1500,77
8.616551218518133e-06,,10,1500,69
4.043226826683645e-05,,10,1500,13
4.095328260107856e-05,,10,2000,42
1.1687816397162454e-05,,10,2000,67
3.429102465752249e-05,,10,2000,77
7.751278807558477e-05,,10,2000,69
3.0316389620769817e-05,,10,2000,13
3.3915094723886536e-06,,10,2500,42
1.4516947606926085e-05,,10,2500,67
4.871706290247782e-05,,10,2500,77
2.9085641368873752e-05,,10,2500,69
4.044753969261922e-05,,10,2500,13
1.958132360106586e-05,,10,3000,42
2.959091461570301e-05,,10,3000,67
1.7264853878067766e-05,,10,3000,77
2.513750810228362e-05,,10,3000,69
2.006074477539294e-05,,10,3000,13
8.106933084756762e-06,,10,3500,42
3.422836887997057e-05,,10,3500,67
3.414910381470844e-05,,10,3500,77
2.0764877492047733e-05,,10,3500,69
1.2342896446899823e-05,,10,3500,13
3.852110480009097e-06,,10,4000,42
2.620814518572382e-05,,10,4000,67
4.753849465821585e-05,,10,4000,77
2.0580449164928263e-05,,10,4000,69
4.5802494908300186e-05,,10,4000,13
1.002045311515667e-05,,10,4500,42
5.039139374338022e-05,,10,4500,67
3.5584469768831626e-05,,10,4500,77
8.025539213307075e-06,,10,4500,69
1.61366321195876e-05,,10,4500,13
1.2067192168600394e-05,,10,5000,42
3.5868000788322535e-05,,10,5000,67
2.3971633524460967e-05,,10,5000,77
9.043199047110216e-06,,10,5000,69
2.231444312963665e-05,,10,5000,13
2.1323567186869885e-05,,10,5500,42
1.920677260492749e-05,,10,5500,67
1.20488111774364e-05,,10,5500,77
1.0417583616505856e-05,,10,5500,69
5.546937327296663e-06,,10,5500,13
2.2122992735775545e-05,,10,6000,42
3.1505318038327926e-06,,10,6000,67
2.3766994401093887e-05,,10,6000,77
5.748474953848478e-06,,10,6000,69
1.0034353764053788e-05,,10,6000,13
3.481055351491031e-05,,10,6500,42
2.5263131885451712e-05,,10,6500,67
1.3737696315714116e-05,,10,6500,77
1.3253532727667286e-05,,10,6500,69
2.080792575935077e-05,,10,6500,13
1.196358141656716e-05,,10,7000,42
1.580442855782778e-05,,10,7000,67
8.862015978762563e-06,,10,7000,77
1.852073758453004e-05,,10,7000,69
2.045599237418888e-05,,10,7000,13
1.4471691074981131e-05,,10,7500,42
2.89387358553009e-05,,10,7500,67
2.0156114064736743e-05,,10,7500,77
4.447860393030905e-06,,10,7500,69
6.211976065042551e-06,,10,7500,13
1.5712825611417538e-05,,10,8000,42
1.0274144172604616e-05,,10,8000,67
2.0704376988859123e-05,,10,8000,77
1.3923937942478283e-05,,10,8000,69
1.5982007607248413e-05,,10,8000,13
2.0288100761640425e-05,,10,8500,42
8.786393883725595e-06,,10,8500,67
1.739106330473475e-05,,10,8500,77
1.618833083093453e-05,,10,8500,69
7.94391536121848e-06,,10,8500,13
2.156788236906315e-05,,10,9000,42
2.105822128826764e-05,,10,9000,67
6.462635226805279e-06,,10,9000,77
1.0155801758384229e-05,,10,9000,69
9.023613512188094e-06,,10,9000,13
1.5390811307343488e-05,,10,9500,42
1.897332485404257e-05,,10,9500,67
2.469831338913012e-05,,10,9500,77
3.07390577135851e-05,,10,9500,69
1.0319176695753964e-05,,10,9500,13
7.33800815271899e-06,,10,10000,42
2.308302025144013e-05,,10,10000,67
2.7893481674539483e-05,,10,10000,77
2.088650761244436e-05,,10,10000,69
2.0558750911880608e-05,,10,10000,13
0.0067723933644693,0.6891807282599374,15,5,42
0.0101952614865188,0.0,15,5,67
0.0086645843029583,0.6891807282599374,15,5,77
0.0084160816567505,0.4292089647292807,15,5,69
0.0095821037948784,0.0,15,5,13
0.0019272485796739,0.6891807282599374,15,10,42
0.0054847942183021,0.4292089647292807,15,10,67
0.0049726605025706,0.9999084707175768,15,10,77
0.0043378983344382,,15,10,69
0.0027158145186492,0.4292089647292807,15,10,13
0.0030754520825382,0.2238904558158474,15,15,42
0.0018795850148382,0.7958150630902541,15,15,67
0.0023954642191705,0.7527404005811745,15,15,77
0.0028460000878799,0.3487953700289231,15,15,69
0.0029106582960845,0.1588255682698353,15,15,13
0.0039723303500355,0.2963558362927352,15,20,42
0.0010822494985644,0.6971001254070476,15,20,67
0.0032025984070273,0.7062746272426141,15,20,77
0.0029415061191764,0.2503688474216523,15,20,69
0.0016710254992721,0.9999084707175768,15,20,13
0.003975102441454,0.4292089647292805,15,25,42
0.0013766468230315,0.874109651434652,15,25,67
0.0009901420999209,0.6396937820246755,15,25,77
0.0018874037063523,0.2772308843458405,15,25,69
0.0033042561336174,0.8767906752082669,15,25,13
0.0023949017858265,0.7123675792523622,15,30,42
0.0007201636650839,0.9999084707175768,15,30,67
0.0027283054471399,0.7066339676210712,15,30,77
0.0011074436183872,0.5567371485277652,15,30,69
0.002433167250307,0.0049007911542917,15,30,13
0.0030667242085726,0.6401713007072034,15,35,42
0.0008990641823893,0.9118553235060542,15,35,67
0.0003869931133435,0.9118553235060546,15,35,77
0.0026982143242698,0.0148507615156519,15,35,69
0.0003087854497069,0.9118553235060546,15,35,13
0.0016504236951171,0.5568154691877121,15,40,42
0.0008519153104047,0.8408440475620106,15,40,67
0.0019633525625431,0.5568154691877121,15,40,77
0.0019037330695867,0.3686689352186401,15,40,69
0.0001643838444328,0.6971001254070476,15,40,13
0.0018401742884477,0.5892045939834636,15,45,42
0.0006146357207094,0.7958150630902541,15,45,67
0.0028095651674214,0.0288504796948775,15,45,77
0.0009163486910842,0.9041846426568788,15,45,69
0.0005542293377259,0.9590764861359208,15,45,13
0.0010650838184465,0.8592604049039911,15,50,42
0.0003291526394711,0.9999084707175768,15,50,67
0.0002171086487325,0.8767906752082669,15,50,77
0.001729273947405,0.4249367198648544,15,50,69
0.00054882257164,0.874109651434652,15,50,13
0.0010812560935609,0.869875741119851,15,60,42
0.0008872223402165,0.5127032410069823,15,60,67
0.0001619326501534,0.9999084707175768,15,60,77
0.0007288553787536,0.7178851128023396,15,60,69
0.0009371413328536,0.4292089647292807,15,60,13
0.0017763102028931,0.6210024798257212,15,70,42
0.0005568471417085,0.6967712590349191,15,70,67
0.001147644771861,0.8267878597171474,15,70,77
0.0008185940909661,0.7389935876136121,15,70,69
0.0005125454897327,0.9999084707175768,15,70,13
0.0014147134333874,0.3061620595321292,15,80,42
0.0002450064079428,0.9999084707175768,15,80,67
0.0004999975684442,0.9228438845380158,15,80,77
0.0005056087934615,0.8897729548786865,15,80,69
0.0017771302085201,0.4912168390303859,15,80,13
0.0001547797760845,0.9999084707175768,15,90,42
0.000390275908578,0.7958150630902543,15,90,67
0.0004318401466401,0.9104877383050204,15,90,77
0.0002807937391597,0.8748476069846521,15,90,69
0.0004070065516104,0.8567729312023119,15,90,13
0.0001880358443795,0.9382473064302728,15,100,42
0.0010230488918355,0.5330393503968787,15,100,67
0.0001866558850205,0.6971001254070476,15,100,77
0.000194862168327,0.8159232758360371,15,100,69
0.0009290535902289,0.8159232758360373,15,100,13
0.0002729966617151,0.9641250042498244,15,150,42
0.0003657687131551,0.9177143197158464,15,150,67
0.0004513593815789,0.8104652959821953,15,150,77
0.0005971523301266,0.7165656583256476,15,150,69
0.0002276438783453,0.8957345652372934,15,150,13
0.0004186591472883,0.8149096832449656,15,200,42
0.0002757915031641,0.8159232758360373,15,200,67
0.0005415547357487,0.6526389939698614,15,200,77
0.0007250500148837,0.6971001254070476,15,200,69
0.0002911336152299,0.9478371400801928,15,200,13
0.000128317117316,0.8767906752082671,15,250,42
0.0001501769395427,0.948347690156144,15,250,67
0.0002471607399246,0.8868281651698553,15,250,77
0.0003944131200902,0.7322456877133148,15,250,69
0.0003004028178209,0.901393580964839,15,250,13
0.0002510983179321,0.917714319715846,15,300,42
0.0001383846331901,0.9542081429551206,15,300,67
0.0004041381666716,0.7307355722043328,15,300,77
0.0001688989218386,0.8159232758360371,15,300,69
0.000390929609613,0.831454886598262,15,300,13
0.0002255330739525,0.9646936523139132,15,350,42
0.0001914683443753,0.8072929133510646,15,350,67
0.0005312842253941,0.6774567854468552,15,350,77
0.0002227464076845,0.8245715539869884,15,350,69
0.0005101756455943,0.6888057440680517,15,350,13
0.0001457150793972,0.8310690196812943,15,400,42
0.0002147140547613,0.9276822395574492,15,400,67
0.0001575252933171,0.916581093388204,15,400,77
7.182149703839832e-05,0.9845499909575812,15,400,69
0.0001160462545093,0.6971001254070476,15,400,13
0.0002185542719144,0.9588131826781664,15,450,42
0.000102205521792,0.9177143197158464,15,450,67
0.0002798590087672,0.8781917949805146,15,450,77
8.760968634184221e-05,0.8904070458513937,15,450,69
5.173709231409603e-05,0.9530881415416884,15,450,13
0.0001124205011386,0.8767906752082669,15,500,42
9.576764334554544e-05,0.9629293389968052,15,500,67
0.000110927647663,0.7918060496548794,15,500,77
6.83886888102647e-05,0.8645607473349823,15,500,69
0.0001053712340736,0.9574606932749364,15,500,13
2.681436154711661e-05,0.9382473064302724,15,1000,42
8.185788727588452e-05,0.9876396483082012,15,1000,67
4.163184388775864e-05,0.7918060496548794,15,1000,77
4.005267548418377e-05,0.9814604963903044,15,1000,69
4.3938822851457705e-05,0.8951790625220023,15,1000,13
0.000103082706343,0.9752821777501104,15,1500,42
1.2854731396196733e-05,0.9835201388900998,15,1500,67
3.006394399445952e-05,0.90541486267382,15,1500,77
3.395731477456572e-05,0.9546979026142004,15,1500,69
2.3684271455309523e-05,0.9876396483082012,15,1500,13
3.862912058047938e-05,0.9907294087824782,15,2000,42
1.300874632847587e-05,0.9814604963903044,15,2000,67
1.995692108744501e-05,0.8951790625220023,15,2000,77
2.909376206468971e-05,0.9290027375517612,15,2000,69
2.0871076372462503e-05,0.9382473064302724,15,2000,13
1.4303224169278702e-05,0.9604595450031722,15,2500,42
1.9794288753028277e-05,0.8743427281474275,15,2500,67
3.2407953770763394e-05,0.8694497390296231,15,2500,77
7.601000911920615e-06,0.9431805302246548,15,2500,69
1.223781148464835e-05,0.950583587013906,15,2500,13
5.1187240279346295e-06,0.9917593366649204,15,3000,42
2.616292684355505e-05,0.9608711568285728,15,3000,67
3.595904176045464e-05,0.9279760177241368,15,3000,77
1.3747007862768424e-05,0.967046283069243,15,3000,69
1.1962016018237104e-05,0.9588131826781664,15,3000,13
1.0822353494138572e-05,0.9682226850591366,15,3500,42
4.575071355159966e-06,0.9788125233404968,15,3500,67
6.190776472932517e-06,0.952346741381876,15,3500,77
1.195633936004567e-05,0.9294427893565524,15,3500,69
4.150383270903042e-06,0.9964672780828652,15,3500,13
1.5143966084325348e-05,0.967560952043002,15,4000,42
8.263487974071627e-06,0.9629293389968048,15,4000,67
1.463847229123815e-05,0.9660169780543684,15,4000,77
7.275734363275977e-06,0.9521263367506552,15,4000,69
2.5033056272119765e-05,0.9151505537159929,15,4000,13
9.366115000773732e-06,0.9794009471050872,15,4500,42
2.299867289652648e-06,0.961557194984502,15,4500,67
2.332494954549108e-05,0.9382473064302724,15,4500,77
8.94416648016857e-06,0.9601851417859154,15,4500,69
1.0402280422521316e-05,0.9876396483082012,15,4500,13
7.840887792323156e-06,0.99752622763916,15,5000,42
8.4872602598907e-06,0.9629293389968048,15,5000,67
2.3866653464397883e-05,0.9653994165904816,15,5000,77
2.1758959612718203e-05,0.960459545003172,15,5000,69
7.353369238084769e-06,0.9925832756524482,15,5000,13
5.578341645772407e-06,0.9865161210294828,15,5500,42
6.622717630719016e-06,0.968543531592435,15,5500,67
1.0580835360937914e-05,0.9618066690553668,15,5500,77
1.0147803911612207e-05,0.9595615121486952,15,5500,69
1.1830098214224327e-05,0.998872605200412,15,5500,13
4.784038082948283e-06,0.9969085488454068,15,6000,42
7.4946656869227795e-06,0.9742525626628716,15,6000,67
7.4948250389861244e-06,0.9783712113538962,15,6000,77
4.331281150475593e-06,0.9711639259228712,15,6000,69
6.5712696749385735e-06,0.9721934353233462,15,6000,13
6.08513112480327e-06,0.9999084707175768,15,6500,42
1.0569158260938122e-05,0.99619570773672,15,6500,67
2.251914217113468e-05,0.958180003423001,15,6500,77
6.214911837342389e-06,0.980034643884456,15,6500,69
2.732036050219428e-05,0.9904917330848134,15,6500,13
6.562254624018958e-06,0.9947019226064931,15,7000,42
5.499539364726501e-06,0.9849913618027678,15,7000,67
7.585325185859893e-06,0.950583587013906,15,7000,77
9.57246701229111e-06,0.9505835870139056,15,7000,69
2.701658106410041e-06,0.9761647307796616,15,7000,13
4.704120125104574e-06,0.9678697585960376,15,7500,42
8.959919130911148e-06,0.9752821777501104,15,7500,67
1.1567016553122149e-05,0.9596363466685376,15,7500,77
2.175362722037067e-06,0.9925832756524484,15,7500,69
1.1497586155498728e-05,0.9802247548176456,15,7500,13
5.988032542456108e-06,0.9575270593790148,15,8000,42
3.836420865576447e-06,0.9984522409979382,15,8000,67
9.51826686196848e-06,0.964473105474972,15,8000,77
1.0749486158326529e-05,0.9528977656718328,15,8000,69
1.4697911621688353e-06,0.9907294087824784,15,8000,13
7.535934588568573e-06,0.9876396483082006,15,8500,42
7.404906490711427e-06,0.9854586991146096,15,8500,67
5.885412319191096e-06,0.976735806744682,15,8500,77
4.106171750761433e-06,0.9825508845737108,15,8500,69
2.5983635084130448e-06,0.9992671787736112,15,8500,13
5.623485137023719e-06,0.9574413209343676,15,9000,42
1.878764821489208e-05,0.9615571949845024,15,9000,67
3.5930016277536707e-06,0.9951923264596888,15,9000,77
2.7353313261519715e-06,0.9917593366649204,15,9000,69
8.937156569872037e-06,0.980087452390246,15,9000,13
7.52412934985268e-06,0.9876396483082008,15,9500,42
1.492707629752038e-05,0.9993430449170628,15,9500,67
7.286487152674101e-06,0.9473361822001884,15,9500,77
8.78227625132491e-06,0.9824361056963806,15,9500,69
1.692813571876786e-05,0.9843873814804556,15,9500,13
3.2637381892287617e-06,0.995055014840883,15,10000,42
2.87475468870558e-06,0.9882575944808136,15,10000,67
4.796976320575938e-06,0.976517758444221,15,10000,77
2.502521273243481e-06,0.9962907587297672,15,10000,69
5.883369016868053e-06,0.9833141708180656,15,10000,13
0.0047122589264262,0.0,20,5,42
0.0058095624132239,0.0,20,5,67
0.0132784302529044,0.0,20,5,77
0.0081496295346543,0.0,20,5,69
0.0065051096286861,0.9215103385750644,20,5,13
0.001568657433668,0.6490806300206649,20,10,42
0.0022178052777669,0.4045968471486052,20,10,67
0.0050469861824201,0.1977652135888189,20,10,77
0.0039507646963656,0.1629894332038333,20,10,69
0.0030608624653906,0.4352023186858764,20,10,13
0.0034598140583121,0.2031165217480056,20,15,42
0.003246477978902,0.0825618187631201,20,15,67
0.0024314407632741,0.3707057688372517,20,15,77
0.0022803743914658,0.0861163712957187,20,15,69
0.0023139478117476,0.2194014869005602,20,15,13
0.0032860914293198,0.0,20,20,42
0.0016175911727804,0.6946052480304014,20,20,67
0.0034316949306064,0.6330163298695102,20,20,77
0.0024616445072642,0.0513836432430064,20,20,69
0.0026985465991348,0.0,20,20,13
0.0028822190882557,0.0,20,25,42
0.0007377031412445,0.8286509502454601,20,25,67
0.0014218517811446,0.608450349547577,20,25,77
0.001108901517453,0.2409581184248888,20,25,69
0.001743529341308,0.5993554543149829,20,25,13
0.0021506911554014,0.1595079501569484,20,30,42
0.0006879782629023,0.9014953306541152,20,30,67
0.001202299007285,0.3939917883007118,20,30,77
0.0013567530964631,0.4590327388322461,20,30,69
0.001354121048136,0.2631864660636227,20,30,13
0.0028537343987492,1.3057697614615726e-05,20,35,42
0.000439473259004,0.9948188819138613,20,35,67
0.0007795422976956,0.9368356354428096,20,35,77
0.0011535861229564,0.3531466114438522,20,35,69
0.0006890502585169,0.7618010668694654,20,35,13
0.0012858539943581,0.7600465089961657,20,40,42
0.0007410864562294,0.8939089399442632,20,40,67
0.0011009595294657,0.494617505796891,20,40,77
0.0020943744604953,0.0537426741982707,20,40,69
0.0017326192636795,0.608052119184723,20,40,13
0.000324472976878,0.9462507320089149,20,45,42
0.0006261130033925,0.946093366340186,20,45,67
0.0006340800416266,0.8583581144637141,20,45,77
0.0007320501810649,0.7733901657471872,20,45,69
0.0003565160810083,0.987844279944462,20,45,13
0.0007481193607252,0.7670265098467696,20,50,42
0.0007947180528142,0.6660884697369192,20,50,67
0.000736292214393,0.5603782162050646,20,50,77
0.0005627066794378,0.8247814942468864,20,50,69
0.0005722926827193,0.9509707182800058,20,50,13
0.000819487948218,0.9712947429933886,20,60,42
0.0004048591623422,0.8404552053194264,20,60,67
0.0006412253015879,0.5462018423516513,20,60,77
0.0003616941357644,0.9150474963263968,20,60,69
0.0015062319917012,0.2483415283791514,20,60,13
0.0006141919946515,0.7697986166999966,20,70,42
0.0002890972735609,0.9736174054155016,20,70,67
